sample	well	mainsource	compound	time	od
R.S.3	A1	Carbon	Propionate	0.000	0.105
R.S.3	A1	Carbon	Propionate	0.500	0.105
R.S.3	A1	Carbon	Propionate	1.000	0.115
R.S.3	A1	Carbon	Propionate	1.500	0.116
R.S.3	A1	Carbon	Propionate	2.000	0.116
R.S.3	A1	Carbon	Propionate	2.500	0.116
R.S.3	A1	Carbon	Propionate	3.000	0.117
R.S.3	A1	Carbon	Propionate	3.500	0.118
R.S.3	A1	Carbon	Propionate	4.000	0.118
R.S.3	A1	Carbon	Propionate	4.500	0.119
R.S.3	A1	Carbon	Propionate	5.000	0.120
R.S.3	A1	Carbon	Propionate	5.500	0.121
R.S.3	A1	Carbon	Propionate	6.000	0.123
R.S.3	A1	Carbon	Propionate	6.600	0.124
R.S.3	A1	Carbon	Propionate	7.100	0.126
R.S.3	A1	Carbon	Propionate	7.600	0.128
R.S.3	A1	Carbon	Propionate	8.100	0.129
R.S.3	A1	Carbon	Propionate	8.600	0.130
R.S.3	A1	Carbon	Propionate	9.100	0.131
R.S.3	A1	Carbon	Propionate	9.600	0.131
R.S.3	A1	Carbon	Propionate	10.100	0.133
R.S.3	A1	Carbon	Propionate	10.600	0.134
R.S.3	A1	Carbon	Propionate	11.100	0.137
R.S.3	A1	Carbon	Propionate	11.600	0.138
R.S.3	A1	Carbon	Propionate	12.100	0.139
R.S.3	A1	Carbon	Propionate	12.600	0.139
R.S.3	A1	Carbon	Propionate	13.100	0.140
R.S.3	A1	Carbon	Propionate	13.600	0.142
R.S.3	A1	Carbon	Propionate	14.100	0.143
R.S.3	A1	Carbon	Propionate	14.600	0.144
R.S.3	A1	Carbon	Propionate	15.100	0.144
R.S.3	A1	Carbon	Propionate	15.600	0.145
R.S.3	A1	Carbon	Propionate	16.100	0.147
R.S.3	A1	Carbon	Propionate	16.600	0.148
R.S.3	A1	Carbon	Propionate	17.100	0.154
R.S.3	A1	Carbon	Propionate	17.600	0.163
R.S.3	A1	Carbon	Propionate	18.100	0.170
R.S.3	A1	Carbon	Propionate	18.600	0.173
R.S.3	A1	Carbon	Propionate	19.200	0.175
R.S.3	A1	Carbon	Propionate	19.700	0.176
R.S.3	A1	Carbon	Propionate	20.200	0.176
R.S.3	A1	Carbon	Propionate	20.700	0.174
R.S.3	A1	Carbon	Propionate	21.200	0.172
R.S.3	A1	Carbon	Propionate	21.700	0.166
R.S.3	A1	Carbon	Propionate	22.200	0.166
R.S.3	A1	Carbon	Propionate	22.700	0.169
R.S.3	A1	Carbon	Propionate	23.200	0.169
R.S.3	A1	Carbon	Propionate	23.700	0.171
R.S.3	A1	Carbon	Propionate	24.200	0.183
R.S.3	A1	Carbon	Propionate	24.700	0.179
R.S.3	A1	Carbon	Propionate	25.200	0.177
R.S.3	A1	Carbon	Propionate	25.700	0.175
R.S.3	A1	Carbon	Propionate	26.200	0.173
R.S.3	A1	Carbon	Propionate	26.700	0.167
R.S.3	A1	Carbon	Propionate	27.200	0.163
R.S.3	A1	Carbon	Propionate	27.700	0.163
R.S.3	A1	Carbon	Propionate	28.200	0.162
R.S.3	A1	Carbon	Propionate	28.700	0.163
R.S.3	A1	Carbon	Propionate	29.200	0.164
R.S.3	A1	Carbon	Propionate	29.700	0.165
R.S.3	A1	Carbon	Propionate	30.200	0.166
R.S.3	A1	Carbon	Propionate	30.700	0.167
R.S.3	A1	Carbon	Propionate	31.200	0.168
R.S.3	A1	Carbon	Propionate	31.700	0.170
R.S.3	A10	Carbon	Oxalic Acid	0.000	0.106
R.S.3	A10	Carbon	Oxalic Acid	0.500	0.099
R.S.3	A10	Carbon	Oxalic Acid	1.000	0.106
R.S.3	A10	Carbon	Oxalic Acid	1.500	0.106
R.S.3	A10	Carbon	Oxalic Acid	2.000	0.109
R.S.3	A10	Carbon	Oxalic Acid	2.500	0.112
R.S.3	A10	Carbon	Oxalic Acid	3.000	0.114
R.S.3	A10	Carbon	Oxalic Acid	3.500	0.115
R.S.3	A10	Carbon	Oxalic Acid	4.000	0.116
R.S.3	A10	Carbon	Oxalic Acid	4.500	0.119
R.S.3	A10	Carbon	Oxalic Acid	5.000	0.120
R.S.3	A10	Carbon	Oxalic Acid	5.500	0.121
R.S.3	A10	Carbon	Oxalic Acid	6.000	0.122
R.S.3	A10	Carbon	Oxalic Acid	6.600	0.124
R.S.3	A10	Carbon	Oxalic Acid	7.100	0.124
R.S.3	A10	Carbon	Oxalic Acid	7.600	0.127
R.S.3	A10	Carbon	Oxalic Acid	8.100	0.127
R.S.3	A10	Carbon	Oxalic Acid	8.600	0.127
R.S.3	A10	Carbon	Oxalic Acid	9.100	0.126
R.S.3	A10	Carbon	Oxalic Acid	9.600	0.124
R.S.3	A10	Carbon	Oxalic Acid	10.100	0.125
R.S.3	A10	Carbon	Oxalic Acid	10.600	0.124
R.S.3	A10	Carbon	Oxalic Acid	11.100	0.126
R.S.3	A10	Carbon	Oxalic Acid	11.600	0.128
R.S.3	A10	Carbon	Oxalic Acid	12.100	0.128
R.S.3	A10	Carbon	Oxalic Acid	12.600	0.131
R.S.3	A10	Carbon	Oxalic Acid	13.100	0.131
R.S.3	A10	Carbon	Oxalic Acid	13.600	0.132
R.S.3	A10	Carbon	Oxalic Acid	14.100	0.131
R.S.3	A10	Carbon	Oxalic Acid	14.600	0.134
R.S.3	A10	Carbon	Oxalic Acid	15.100	0.134
R.S.3	A10	Carbon	Oxalic Acid	15.600	0.135
R.S.3	A10	Carbon	Oxalic Acid	16.100	0.137
R.S.3	A10	Carbon	Oxalic Acid	16.600	0.138
R.S.3	A10	Carbon	Oxalic Acid	17.100	0.140
R.S.3	A10	Carbon	Oxalic Acid	17.600	0.140
R.S.3	A10	Carbon	Oxalic Acid	18.100	0.141
R.S.3	A10	Carbon	Oxalic Acid	18.600	0.140
R.S.3	A10	Carbon	Oxalic Acid	19.200	0.141
