sample	well	mainsource	compound	time	od
R.S.3	A1	Carbon	Propionate	0.000	0.108
R.S.3	A1	Carbon	Propionate	0.320	0.108
R.S.3	A1	Carbon	Propionate	0.640	0.109
R.S.3	A1	Carbon	Propionate	0.961	0.109
R.S.3	A1	Carbon	Propionate	1.281	0.110
R.S.3	A1	Carbon	Propionate	1.601	0.110
R.S.3	A1	Carbon	Propionate	1.921	0.111
R.S.3	A1	Carbon	Propionate	2.241	0.112
R.S.3	A1	Carbon	Propionate	2.562	0.112
R.S.3	A1	Carbon	Propionate	2.882	0.113
R.S.3	A1	Carbon	Propionate	3.202	0.114
R.S.3	A1	Carbon	Propionate	3.522	0.115
R.S.3	A1	Carbon	Propionate	3.842	0.116
R.S.3	A1	Carbon	Propionate	4.163	0.116
R.S.3	A1	Carbon	Propionate	4.483	0.117
R.S.3	A1	Carbon	Propionate	4.803	0.118
R.S.3	A1	Carbon	Propionate	5.123	0.119
R.S.3	A1	Carbon	Propionate	5.443	0.120
R.S.3	A1	Carbon	Propionate	5.764	0.121
R.S.3	A1	Carbon	Propionate	6.084	0.122
R.S.3	A1	Carbon	Propionate	6.404	0.123
R.S.3	A1	Carbon	Propionate	6.724	0.124
R.S.3	A1	Carbon	Propionate	7.044	0.125
R.S.3	A1	Carbon	Propionate	7.365	0.127
R.S.3	A1	Carbon	Propionate	7.685	0.128
R.S.3	A1	Carbon	Propionate	8.005	0.129
R.S.3	A1	Carbon	Propionate	8.325	0.130
R.S.3	A1	Carbon	Propionate	8.645	0.131
R.S.3	A1	Carbon	Propionate	8.966	0.132
R.S.3	A1	Carbon	Propionate	9.286	0.134
R.S.3	A1	Carbon	Propionate	9.606	0.135
R.S.3	A1	Carbon	Propionate	9.926	0.136
R.S.3	A1	Carbon	Propionate	10.246	0.137
R.S.3	A1	Carbon	Propionate	10.567	0.139
R.S.3	A1	Carbon	Propionate	10.887	0.140
R.S.3	A1	Carbon	Propionate	11.207	0.141
R.S.3	A1	Carbon	Propionate	11.527	0.142
R.S.3	A1	Carbon	Propionate	11.847	0.144
R.S.3	A1	Carbon	Propionate	12.168	0.145
R.S.3	A1	Carbon	Propionate	12.488	0.146
R.S.3	A1	Carbon	Propionate	12.808	0.147
R.S.3	A1	Carbon	Propionate	13.128	0.148
R.S.3	A1	Carbon	Propionate	13.448	0.150
R.S.3	A1	Carbon	Propionate	13.769	0.151
R.S.3	A1	Carbon	Propionate	14.089	0.152
R.S.3	A1	Carbon	Propionate	14.409	0.153
