sample	well	mainsource	compound	y0	lag	maxgrowth	asymptote	growthlevel	glscaled	r	auc_raw	auc_rshift	auc_log	auc_lshift	growthclass
R.S.3	A1	Carbon	Propionate	0.098	0.014	0.008	0.180	0.328	0.820	0.188	4.760	1.664	4.787	1.690	-
R.S.3	A10	Carbon	Oxalic Acid	0.103	0.012	0.009	0.143	0.271	0.894	0.239	4.093	0.841	4.172	0.921	-
R.S.3	A11	Carbon	Malic Acid	0.079	0.014	0.010	0.204	0.345	0.688	0.189	4.568	2.061	5.080	2.573	-
R.S.3	A12	Carbon	L-Methionine	0.104	0.009	0.200	0.107	0.210	0.958	7.429	3.264	-0.033	3.407	0.110	--
R.S.3	A2	Carbon	L-Glutamic Acid	0.105	2.329	0.010	0.241	0.409	0.694	0.170	5.455	2.126	5.703	2.374	+
R.S.3	A3	Carbon	D-Glucose	0.072	0.941	0.054	0.453	0.772	0.705	0.475	11.861	9.585	12.335	10.058	+++
R.S.3	A4	Carbon	Potassium Sorbate	0.102	0.010	0.018	0.151	0.277	0.834	0.485	4.004	0.774	4.569	1.339	-
R.S.3	A5	Carbon	Lactulose	0.114	9.027	0.027	0.181	0.310	0.713	0.596	4.134	0.507	4.918	1.292	-
R.S.3	A6	Carbon	Glycerol	0.098	4.166	0.045	0.556	0.870	0.564	0.327	11.931	8.834	12.868	9.771	+++
R.S.3	A7	Carbon	Myo-Inositol	0.111	7.913	0.018	0.332	0.515	0.551	0.213	6.157	2.632	6.724	3.200	++
R.S.3	A8	Carbon	D-Serine	0.060	0.014	0.027	0.408	0.660	0.617	0.264	9.037	7.124	10.127	8.214	++
R.S.3	A9	Carbon	D-Galactose	0.057	0.008	0.027	0.426	0.701	0.645	0.253	9.885	8.080	10.412	8.608	++
R.S.3	B1	Carbon	Glycine	0.105	0.297	0.245	0.140	0.265	0.892	6.990	3.970	0.643	4.419	1.092	-
R.S.3	B10	Carbon	L-Valine	0.105	0.010	0.058	0.115	0.229	0.990	2.023	3.610	0.281	3.634	0.305	--
R.S.3	B11	Carbon	Pyruvate	0.062	0.005	0.025	0.424	0.697	0.643	0.236	9.869	7.902	10.190	8.223	++
R.S.3	B12	Carbon	Lactate	0.103	6.586	0.052	0.697	1.011	0.451	0.297	12.402	9.150	14.144	10.892	+++
R.S.3	B2	Carbon	Negative Control	0.105	0.018	0.040	0.128	0.252	0.963	1.257	3.927	0.591	4.030	0.694	-
R.S.3	B3	Carbon	Quinate	0.110	0.012	0.005	0.125	0.243	0.942	0.174	3.749	0.256	3.787	0.294	--
R.S.3	B4	Carbon	Succinate	0.101	3.905	0.021	0.401	0.641	0.598	0.210	8.302	5.106	8.630	5.434	++
R.S.3	B5	Carbon	Dulcitol	0.111	5.902	0.047	0.477	0.756	0.585	0.390	10.576	7.053	11.077	7.554	+++
R.S.3	B6	Carbon	Alpha-D-Glucose	0.052	0.370	0.051	0.454	0.775	0.705	0.447	11.882	10.221	12.361	10.700	+++
R.S.3	B7	Carbon	L-Xylose	0.103	0.010	0.061	0.123	0.244	0.985	1.974	3.839	0.567	3.869	0.597	--
R.S.3	B8	Carbon	L-Aspartic Acid	0.105	4.674	0.015	0.283	0.469	0.657	0.219	6.231	2.892	6.495	3.156	+
R.S.3	B9	Carbon	D-Fructose	0.059	1.081	0.044	0.467	0.780	0.668	0.379	11.699	9.833	12.122	10.256	+++
R.S.3	C1	Carbon	Citric Acid	0.114	10.344	0.028	0.328	0.492	0.497	0.339	5.457	1.832	6.933	3.308	+
R.S.3	C10	Carbon	L-Lysine	0.107	0.010	0.056	0.122	0.238	0.956	1.842	3.691	0.310	3.837	0.455	--
R.S.3	C11	Carbon	Trehalose	0.053	0.829	0.050	0.473	0.795	0.681	0.426	12.233	10.568	12.576	10.912	+++
R.S.3	C12	Carbon	Acetic Acid	0.092	6.183	0.017	0.358	0.551	0.540	0.193	6.585	3.671	6.959	4.044	++
R.S.3	C2	Carbon	D-Mannose	0.048	0.785	0.043	0.551	0.892	0.619	0.311	12.884	11.353	13.676	12.145	+++
R.S.3	C3	Carbon	L-Serine	0.104	3.843	0.016	0.327	0.536	0.643	0.190	7.008	3.700	7.133	3.825	++
R.S.3	C4	Carbon	Salicoside	0.107	0.012	0.028	0.154	0.295	0.913	0.726	4.497	1.105	4.754	1.363	-
R.S.3	C5	Carbon	Cellobiose	0.095	4.344	0.038	0.479	0.755	0.576	0.317	10.382	7.385	11.058	8.061	+++
R.S.3	C6	Carbon	Adonitol	0.102	0.011	0.032	0.148	0.283	0.907	0.857	4.300	1.080	4.588	1.369	-
R.S.3	C7	Carbon	D-Glucose-6-Phosphate	0.070	3.844	0.091	0.674	1.144	0.698	0.540	16.452	14.236	16.785	14.568	+++
R.S.3	C8	Carbon	L-Sorbose	0.109	0.010	0.046	0.142	0.270	0.909	1.296	4.104	0.659	4.432	0.987	-
R.S.3	C9	Carbon	D-Arabitol	0.098	0.011	0.058	0.120	0.234	0.946	1.919	3.631	0.513	3.787	0.668	--
R.S.3	D1	Carbon	L-Alanine	0.103	5.740	0.011	0.226	0.377	0.664	0.192	4.891	1.625	5.187	1.921	+
R.S.3	D10	Carbon	L-Leucine	0.106	0.009	0.085	0.123	0.241	0.966	2.773	3.770	0.403	3.880	0.513	--
R.S.3	D11	Carbon	D-Aspartic Acid	0.103	0.010	0.063	0.118	0.234	0.979	2.132	3.663	0.390	3.725	0.453	--
R.S.3	D12	Carbon	Inosine	0.093	3.239	0.070	0.514	0.842	0.639	0.543	12.737	9.782	13.361	10.406	+++
R.S.3	D2	Carbon	L-Arabinose	0.072	0.000	0.029	0.411	0.698	0.699	0.283	10.174	7.883	10.484	8.192	++
R.S.3	D3	Carbon	L-Threonine	0.107	0.011	0.043	0.135	0.260	0.923	1.263	3.974	0.589	4.237	0.851	-
R.S.3	D4	Carbon	4 Hydroxy-Phenylacetate	0.106	0.010	0.038	0.131	0.254	0.938	1.150	3.910	0.561	4.106	0.757	-
R.S.3	D5	Carbon	D-Ribose	0.086	2.787	0.030	0.445	0.715	0.607	0.271	9.869	7.128	10.384	7.642	++
R.S.3	D6	Carbon	Melibiose	0.097	3.392	0.054	0.447	0.744	0.665	0.481	11.034	7.966	11.506	8.438	++
R.S.3	D7	Carbon	D-Alanine	0.115	8.357	0.022	0.312	0.494	0.584	0.277	6.034	2.393	6.819	3.178	+
R.S.3	D8	Carbon	L-Fucose	0.116	9.133	0.031	0.449	0.661	0.470	0.279	7.591	3.915	8.815	5.139	++
R.S.3	D9	Carbon	L-Asparagine	0.101	4.105	0.015	0.381	0.589	0.545	0.162	7.020	3.833	7.494	4.306	++
R.S.3	E1	Carbon	Thymidine	0.103	0.994	0.037	0.232	0.437	0.882	0.643	6.690	3.434	6.808	3.552	+
R.S.3	E10	Carbon	L-Isoleucine	0.104	0.011	0.066	0.126	0.247	0.960	2.092	3.852	0.567	3.979	0.694	--
R.S.3	E11	Carbon	L-Cysteic Acid	0.105	0.011	0.029	0.116	0.229	0.970	1.000	3.577	0.261	3.660	0.344	--
R.S.3	E12	Carbon	Adenosine	0.101	4.382	0.062	0.517	0.887	0.715	0.477	12.736	9.546	12.808	9.618	+++
R.S.3	E2	Carbon	Sucrose	0.102	0.554	0.044	0.182	0.353	0.936	0.957	5.496	2.247	5.557	2.308	+
