sample	rep	well	mainsource	compound	y0	lag	maxgrowth	asymptote	growthlevel	glscaled	r	auc_raw	auc_rshift	auc_log	auc_lshift	growthclass	err_mse
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
R.S.3	ID773	A1	Carbon	Propionate	0.108	0.011	0.008	0.163	0.306	0.874	0.188	4.567	1.149	4.555	1.136	-	0.000
