sample	rep	mainsource	compound	well	plate	time	od
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	0.0	0.0946141
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	0.5	0.0967055
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	1.0	0.106015
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	1.5	0.112003
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	2.0	0.112062
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	2.5	0.111565
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	3.0	0.113703
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	3.5	0.116312
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	4.0	0.11694
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	4.5	0.118155
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	5.0	0.119875
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	5.5	0.120614
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	6.0	0.121354
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	6.6	0.122651
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	7.1	0.123964
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	7.6	0.125319
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	8.1	0.126824
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	8.6	0.125997
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	9.1	0.126527
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	9.6	0.125152
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	10.1	0.126286
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	10.6	0.127042
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	11.1	0.128176
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	11.6	0.130161
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	12.1	0.13113
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	12.6	0.132455
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	13.1	0.134083
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	13.6	0.136335
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	14.1	0.138119
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	14.6	0.14115
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	15.1	0.141856
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	15.6	0.144124
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	16.1	0.147346
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	16.6	0.148038
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	17.1	0.153868
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	17.6	0.162694
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	18.1	0.169784
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	18.6	0.172985
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	19.2	0.174533
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	19.7	0.175607
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	20.2	0.176062
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	20.7	0.17396
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	21.2	0.172254
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	21.7	0.166484
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	22.2	0.165803
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	22.7	0.169011
R.S.3	ID953	Carbon	Propionate	A1	sample_plate	23.2	0.169413
